Customer ID,RFM Score,Average Balance Feed Index,Number of Transactions,Personal Debt to Equity Ratio,Months Current Account,Number of Loan Accounts,Has Bad Payment Record,Members Within Household,Number of Call Center Contacts,Age Youngest Child,Number of Workers in Household,Percentage White Collar Workers,Household Debt to Equity Ratio,Income,Weeks Since Last Offer,Homeowner,Annual value,Last_offer_date,Accepted Credit Card
27255,8.365667,299,1,33,10,0,0,3,10,2,14,38,47,51309,30,F,90,03/03/2019,F
27306,9.940147,74,3,33,10,2,0,5,11,2,9,26,63,47287,20,F,320,11/06/2018,F
14681,9.299,299,1,45,28,3,0,6,10,17,15,27,56,36364,7,F,390,30/10/2017,F
15211,0,0,0,49,36,1,0,5,9,21,6,29,64,59232,20,F,100,04/09/2020,F
15079,0,0,0,43,7,1,0,5,0,15,15,39,44,43123,47,F,100,24/02/2018,F
15181,10.931637,65,3,32,20,1,0,2,10,3,11,21,66,56036,42,T,250,09/10/2016,T
15213,0,0,0,48,19,3,0,1,11,15,7,27,64,56348,7,F,300,17/04/2019,F
15214,8.152333,219,1,42,14,0,0,5,4,14,12,38,49,29130,28,F,60,15/03/2016,F
15359,0,0,0,39,32,0,0,4,10,9,14,34,50,57317,11,F,0,26/09/2016,F
15477,0,0,0,23,35,3,0,5,5,0,10,38,50,76547,52,F,300,30/04/2017,F
15695,0,0,0,39,28,2,0,5,1,9,7,23,68,57561,3,F,200,04/03/2016,F
15849,0,0,0,44,17,3,0,6,9,16,5,14,79,42381,37,T,300,07/07/2018,F
26618,0,0,0,42,9,3,0,2,9,12,8,33,58,47792,44,F,300,23/01/2019,F
26813,9.355667,89,1,40,14,1,0,3,0,12,10,36,53,72513,27,F,160,26/07/2020,F
26859,0,0,0,45,35,0,0,4,11,13,10,27,61,57415,42,F,0,21/01/2017,F
27084,11.480313,847,4,32,16,1,0,3,10,3,11,21,66,56036,22,F,310,17/09/2018,T
26930,0,0,0,47,22,1,0,2,1,19,10,35,53,29959,37,F,100,30/07/2019,T
27268,0,0,0,51,12,0,0,6,8,21,13,31,55,52114,43,F,0,10/09/2017,F
27277,0,0,0,38,9,0,0,6,9,12,12,22,64,69332,46,F,0,10/08/2017,F
27333,9.752313,19,2,23,17,2,0,5,8,0,9,65,25,46236,23,T,320,08/11/2016,F
10698,11.445667,179,1,26,21,0,0,6,9,0,7,43,49,67905,39,F,60,30/03/2020,F
10782,0,0,0,63,28,0,0,2,10,31,8,32,59,56249,41,F,0,14/08/2019,F
10807,11.711323,178,3,36,17,1,0,2,9,8,6,56,37,36646,32,F,280,11/09/2019,F
10855,0,0,0,36,21,3,0,4,10,9,13,33,53,68940,31,F,300,10/10/2018,F
10898,0,0,0,36,22,0,0,3,10,8,9,26,64,68819,44,T,0,07/02/2016,F
11050,0,0,0,24,22,0,0,3,7,0,7,33,58,65263,31,T,0,19/01/2018,F
11125,0,0,0,14,29,0,0,1,10,0,15,31,52,42752,1,T,0,16/12/2019,F
11457,0,0,0,39,18,1,0,2,10,6,11,32,55,54406,40,T,100,05/12/2017,F
11602,0,0,0,44,8,1,0,1,10,14,6,36,57,59099,15,F,100,26/01/2019,F
11607,0,0,0,39,-3,2,0,4,6,9,7,23,68,57561,17,F,230,18/07/2019,T
11609,0,0,0,39,-2,0,0,4,6,10,11,43,45,56824,33,T,0,19/02/2020,T
11616,0,0,0,26,26,1,0,4,11,0,10,36,52,43935,28,F,100,17/06/2020,F
11659,0,0,0,68,-6,2,0,2,9,39,8,22,68,29154,31,F,200,20/12/2019,T
11916,0,0,0,38,-3,6,0,3,10,9,18,50,30,52955,13,F,600,05/12/2019,F
11943,0,0,0,27,37,1,0,1,9,4,20,21,58,50324,8,F,100,09/01/2020,F
12645,0,0,0,61,20,0,0,4,9,29,12,48,38,45982,15,F,0,04/04/2017,F
12654,0,0,0,38,0,1,0,2,0,13,11,31,56,49197,18,T,100,06/03/2020,F
4102,0,0,0,42,13,1,0,6,9,14,12,42,44,59133,6,F,100,09/10/2020,F
4226,10.837233,104,3,40,38,0,0,4,0,12,13,45,41,78162,50,F,90,15/12/2020,F
4374,0,0,0,37,9,1,0,1,11,2,11,35,52,66303,37,T,100,24/11/2020,T
4463,10.46999,70,1,30,13,3,0,2,9,2,9,21,68,48788,24,F,390,22/11/2017,F
4383,10.752323,119,2,35,20,1,0,5,0,7,6,31,61,79287,28,F,220,15/02/2020,F
4520,12.64498,45,2,59,41,0,0,3,8,31,15,28,55,56125,19,F,150,04/01/2020,F
4310,7.415667,49,1,42,14,0,0,2,10,14,11,43,45,48564,48,T,120,01/03/2017,F
4497,13.041323,308,2,46,9,0,0,5,10,18,11,24,63,57643,52,F,120,18/06/2019,F
4590,13.071333,438,2,50,31,0,0,2,11,23,11,29,58,25785,34,F,90,08/07/2016,F
4651,12.12899,229,2,33,9,0,0,1,11,2,13,41,44,45107,12,F,90,21/02/2018,F
4686,0,0,0,20,20,2,0,2,9,0,16,24,59,50177,37,F,200,09/03/2019,F
4643,0,0,0,37,-6,1,0,1,11,5,18,27,54,65360,22,F,100,21/07/2020,F
4988,0,0,0,48,33,0,0,4,0,20,14,21,63,54532,6,F,0,08/08/2019,F
5008,9.974657,408,3,50,28,4,0,4,0,19,11,29,59,56057,12,F,490,20/01/2017,F
4896,0,0,0,60,-2,2,0,3,10,31,13,25,60,58481,42,F,200,07/09/2016,F
5170,0,0,0,35,13,1,0,6,10,7,13,34,52,54575,23,F,100,06/02/2019,F
31930,11.495667,129,1,41,7,1,0,1,0,12,9,29,61,62091,7,F,160,16/04/2016,F
5030,0,0,0,56,-6,0,0,4,11,27,6,40,52,38212,9,F,0,09/11/2019,F
5147,0,0,0,42,-3,0,0,4,8,12,13,21,64,38433,49,T,0,14/02/2017,F
5306,0,0,0,29,11,3,0,1,11,0,19,16,64,40494,15,T,300,10/01/2018,F
32075,0,0,0,64,-1,1,0,7,11,34,9,32,57,52217,22,F,100,29/02/2020,F
32150,8.615657,249,2,28,38,1,0,1,0,0,10,29,59,63015,15,T,160,01/04/2017,F
5197,0,0,0,36,-1,3,0,3,0,6,8,49,42,49083,22,F,330,10/11/2016,F
5231,0,0,0,39,18,0,0,6,9,7,11,27,60,57063,17,F,0,19/09/2016,T
32229,10.482647,16,2,16,8,4,0,6,10,0,11,39,49,48683,44,F,490,20/06/2017,T
32309,0,0,0,41,22,1,0,3,10,13,7,39,52,30933,6,F,100,18/10/2020,F
31987,0,0,0,58,23,3,0,3,11,31,10,20,69,36502,29,F,300,12/09/2019,F
32363,0,0,0,27,23,0,0,2,9,0,7,27,64,37502,24,F,0,21/08/2018,F
32534,9.358,958,2,54,11,2,0,4,9,25,9,34,55,57131,51,F,260,25/02/2019,T
32566,0,0,0,31,15,0,0,4,9,2,11,23,65,59932,21,T,0,24/02/2019,F
32573,0,0,0,25,-5,1,0,5,9,0,14,32,53,63861,48,F,100,08/10/2018,F
93,0,0,0,28,15,0,0,1,6,0,4,30,64,40287,43,F,0,29/12/2017,F
104,0,0,0,74,18,3,0,2,6,44,5,40,53,47505,44,F,300,19/11/2017,F
202,0,0,0,39,21,2,0,6,8,8,10,36,52,50358,11,F,200,20/02/2017,T
311,7.665667,399,1,30,38,2,0,3,9,0,17,33,49,32093,50,T,230,04/07/2017,T
361,12.148323,15,1,59,31,1,0,7,11,30,9,47,43,50068,26,F,160,07/07/2019,F
445,0,0,0,75,31,0,0,5,0,47,12,41,46,46949,30,F,0,12/09/2016,F
636,0,0,0,44,20,0,0,2,0,13,10,27,61,57415,19,T,0,17/04/2020,F
670,9.885667,219,1,46,26,1,0,2,10,19,8,31,59,50127,2,F,160,02/10/2019,F
1031,0,0,0,42,-1,1,0,6,10,13,9,47,43,44242,22,F,100,15/11/2017,F
1315,0,0,0,44,38,1,0,6,11,14,6,36,57,59099,31,F,100,05/09/2017,F
1363,0,0,0,40,23,2,0,5,10,12,9,46,44,48147,7,T,200,31/07/2020,F
1781,12.120263,487,4,45,21,0,0,6,9,16,7,26,66,62909,6,T,120,26/03/2017,F
1917,0,0,0,63,0,1,0,4,9,38,13,27,59,50538,12,F,100,23/01/2020,F
1958,0,0,0,33,28,7,0,5,9,3,14,28,56,41093,37,F,700,15/09/2016,F
2001,0,0,0,28,16,1,0,4,9,0,6,25,67,39207,45,T,100,30/04/2016,F
2008,0,0,0,54,-6,0,0,7,11,24,12,36,51,72416,20,F,0,19/07/2020,F
2015,11.60498,405,5,29,27,1,0,2,8,0,10,36,52,43935,46,F,400,18/09/2016,F
32553,0,0,0,31,-5,3,0,2,9,0,10,51,37,47751,3,F,300,03/05/2016,F
32621,0,0,0,35,-4,0,0,3,7,5,7,36,55,43366,4,T,0,18/06/2019,F
32686,0,0,0,59,-4,0,0,6,10,32,9,38,51,37914,49,F,0,01/10/2016,F
22099,0,0,0,25,31,1,0,4,9,0,10,36,52,43935,11,F,100,14/10/2016,T
32684,0,0,0,54,31,0,0,5,7,22,9,32,58,48859,44,T,0,12/07/2020,F
22161,0,0,0,32,40,1,0,5,10,0,14,32,53,49255,47,F,100,16/01/2019,F
22181,0,0,0,39,37,1,0,4,10,13,7,39,52,30933,13,F,100,09/11/2016,F
22297,10.41649,317,2,37,28,1,0,3,10,4,5,25,69,38838,10,T,190,03/12/2017,F
22449,11.329647,963,4,34,18,1,0,2,10,5,16,34,49,49518,40,F,280,24/06/2019,T
9659,0,0,0,42,27,0,0,5,1,14,13,27,58,45642,23,F,0,22/11/2020,F
22688,0,0,0,40,41,0,0,2,9,15,9,42,48,53970,11,F,0,08/04/2017,F
9942,8.957333,124,1,48,13,0,0,3,10,16,8,38,52,47326,8,T,60,28/05/2016,F
9991,0,0,0,39,-6,1,0,1,6,15,15,28,55,54742,19,F,100,23/03/2019,F
22756,0,0,0,22,23,1,0,4,8,0,21,35,43,50285,45,F,100,04/11/2020,F
22813,0,0,0,40,22,0,0,2,10,6,9,28,61,40295,12,F,0,26/03/2020,F
10124,0,0,0,15,12,0,0,5,10,0,7,27,64,37502,13,F,0,07/06/2016,F
10125,11.955667,89,1,40,8,1,0,5,10,12,9,29,61,62091,38,F,130,23/11/2017,F
22600,0,0,0,37,21,1,0,1,10,6,12,38,49,65732,38,F,100,10/03/2018,F
22619,9.467323,134,2,53,8,2,0,5,10,23,8,23,67,36313,27,F,290,08/02/2018,F
23056,0,0,0,39,38,1,0,6,11,14,7,32,59,48415,22,T,100,15/03/2017,F
10311,0,0,0,42,37,1,0,6,10,11,11,37,50,36149,41,F,100,21/03/2016,F
10345,0,0,0,18,23,2,0,6,0,0,16,24,59,50177,21,F,200,18/08/2020,F
22952,9.995657,129,2,39,35,0,0,4,9,10,16,34,48,41701,23,T,90,21/11/2018,T
23001,0,0,0,65,10,0,0,6,11,40,18,50,31,69423,19,F,0,04/08/2016,F
23340,8.14999,150,1,55,6,0,0,7,10,24,7,36,56,53038,18,F,60,06/09/2020,T
23220,0,0,0,39,14,0,0,1,9,11,6,37,56,37073,44,T,0,07/01/2019,F
23774,0,0,0,52,17,0,0,4,8,20,11,37,50,41325,29,T,0,21/08/2016,F
23656,0,0,0,31,33,1,0,6,10,0,14,39,45,49921,13,F,100,24/06/2017,T
23869,0,0,0,45,-4,1,0,3,11,16,8,20,70,30251,31,F,100,11/11/2017,F
23951,0,0,0,55,7,0,0,3,9,28,13,26,59,54213,35,T,0,01/05/2019,F
23821,8.770657,104,2,38,28,4,0,4,0,11,18,29,52,41531,8,F,490,17/09/2019,F
23907,0,0,0,37,25,1,0,3,9,9,11,31,56,52239,1,F,100,01/08/2017,T
23957,0,0,0,30,17,0,0,3,11,0,4,30,64,40287,1,F,0,26/06/2019,F
21740,0,0,0,64,16,0,0,4,0,37,8,32,59,58903,17,F,0,05/08/2020,F
21843,0,0,0,20,-5,0,0,2,6,0,7,27,64,37502,36,F,0,23/05/2019,F
16039,0,0,0,44,38,0,0,2,8,11,13,33,52,46755,29,F,0,07/06/2019,F
16098,11.414667,348,2,36,24,5,0,6,7,6,14,40,45,53933,26,F,590,07/04/2020,F
16255,12.238333,705,5,47,39,0,0,2,1,17,6,30,62,58487,4,F,210,11/08/2020,F
16262,12.479,279,1,45,10,0,0,2,11,13,12,11,75,53734,15,F,120,20/08/2020,T
16598,0,0,0,19,17,0,0,6,10,0,15,31,52,42752,25,F,0,28/08/2018,T
16632,9.082333,349,1,70,8,0,0,4,8,38,9,39,51,37327,7,F,60,20/01/2020,T
16689,0,0,0,40,31,2,0,1,11,8,18,36,44,56246,21,F,200,22/01/2020,T
16798,30.470917,405,23,20,11,0,0,4,11,0,4,30,64,40287,29,F,960,05/09/2016,F
17284,0,0,0,39,9,0,0,6,10,5,7,39,52,55425,51,F,0,07/11/2020,F
17309,10.822323,189,2,46,39,2,0,3,11,14,10,25,64,47433,27,F,290,02/11/2019,F
17393,11.681333,348,2,49,39,0,0,4,0,18,9,39,51,36431,38,F,90,18/12/2018,F
17707,11.04894,349,3,22,10,0,0,5,0,0,7,33,58,65263,10,F,120,22/05/2020,T
17718,8.749,249,1,35,33,1,0,5,10,4,5,25,69,38838,2,T,160,02/08/2019,F
17927,0,0,0,43,-1,1,0,1,10,15,15,28,55,54742,44,F,100,14/10/2016,F
17950,0,0,0,16,-2,1,0,3,11,0,6,25,67,39207,44,F,100,03/07/2017,F
21974,0,0,0,45,34,0,0,1,9,17,8,24,66,43689,3,F,0,05/06/2020,F
22025,10.090667,124,1,51,29,0,0,6,10,25,13,31,54,23751,6,F,90,05/09/2017,F
24055,9.629,29,1,30,33,5,0,1,9,0,6,38,54,30983,50,F,590,31/07/2017,F
27433,0,0,0,54,9,2,0,4,11,24,4,36,58,50062,13,F,200,27/05/2016,F
27698,0,0,0,17,-1,4,0,4,9,0,15,34,50,26710,20,T,400,18/02/2020,F
27711,0,0,0,39,27,1,0,4,10,9,11,31,56,52239,50,F,100,17/11/2018,F
27779,22.962202,429,16,50,36,3,0,6,8,18,16,30,52,63582,17,F,1350,24/07/2020,F
27605,26.357967,592,18,26,16,1,0,3,11,0,10,23,66,31972,45,F,640,09/01/2020,F
27707,0,0,0,17,29,1,0,1,8,0,10,36,52,43935,20,F,100,17/05/2020,F
27792,0,0,0,27,14,2,0,1,9,0,8,33,58,58465,42,F,200,28/02/2019,F
27884,0,0,0,35,-2,0,0,4,0,4,9,33,57,44525,19,F,30,29/12/2019,F
27843,0,0,0,44,32,3,0,1,0,17,7,26,66,35836,42,T,300,04/11/2019,F
27861,0,0,0,40,15,2,0,2,11,10,8,44,47,48069,19,F,200,23/07/2018,F
28040,0,0,0,59,24,1,0,3,0,28,11,32,56,32436,12,T,100,05/03/2020,F
28149,0,0,0,44,28,2,0,1,11,15,10,43,45,55197,18,F,200,21/12/2019,F
28088,11.832333,199,1,37,11,0,0,4,11,8,11,36,51,31179,6,T,90,06/05/2020,F
28179,12.763293,430,6,41,30,1,0,6,10,13,9,38,51,38650,8,T,850,24/05/2017,F
28181,0,0,0,26,-6,1,0,6,0,0,10,23,66,31972,1,F,100,13/12/2019,F
28074,0,0,0,44,-3,1,0,1,0,12,10,36,53,72513,25,T,100,24/12/2018,T
28257,30.1168,517,23,19,34,1,0,4,10,0,21,35,43,50285,13,F,790,23/06/2016,F
28429,12.46498,65,2,57,31,3,0,6,3,25,8,17,73,62320,22,T,390,13/09/2017,F
28417,0,0,0,28,37,0,0,3,10,0,7,27,64,37502,46,T,0,19/10/2017,F
28574,0,0,0,42,38,2,0,6,11,10,8,44,47,48069,3,F,200,01/06/2017,T
28601,0,0,0,44,-4,0,0,6,11,10,5,26,67,34916,12,T,0,11/06/2018,F
28702,0,0,0,38,9,1,0,2,0,10,11,40,47,57860,48,T,100,09/11/2019,F
28644,0,0,0,67,-6,1,0,5,5,35,7,27,65,44673,16,F,100,17/11/2019,F
28820,0,0,0,60,16,0,0,6,11,29,12,48,38,45982,51,F,0,06/03/2019,F
28835,0,0,0,61,19,1,0,2,5,33,9,34,55,46907,5,T,100,15/02/2018,F
28903,0,0,0,43,5,3,0,6,10,18,10,33,55,48807,20,F,300,18/06/2016,F
29222,11.257313,124,2,29,27,3,0,6,8,0,10,51,37,47751,11,F,420,04/10/2020,F
29109,0,0,0,26,10,3,0,4,1,0,10,28,60,56069,2,F,300,17/11/2019,F
29120,0,0,0,38,-4,0,0,5,8,11,11,45,43,45924,23,F,0,05/11/2020,F
29411,11.244657,278,3,53,26,1,0,6,8,20,11,10,78,43751,1,T,280,08/05/2018,F
7708,0,0,0,38,23,0,0,3,11,13,14,19,66,59681,20,T,0,12/07/2016,F
7842,0,0,0,41,40,1,0,5,8,16,5,49,45,49260,35,F,100,09/09/2019,F
8142,10.655323,122,2,19,21,1,0,6,10,0,13,47,38,50205,10,T,160,28/03/2020,F
8433,8.086657,120,1,44,25,0,0,6,10,15,11,23,64,66704,18,F,90,18/06/2018,F
8485,10.85898,59,3,41,5,3,0,6,10,11,8,35,55,53548,5,T,480,25/06/2019,F
8490,0,0,0,39,19,0,0,5,0,12,13,21,64,38433,30,F,0,20/01/2016,F
8692,9.812333,179,1,39,28,3,0,6,0,8,17,39,43,38539,24,F,390,15/03/2020,F
8883,0,0,0,41,14,1,0,3,11,10,11,40,47,57860,1,F,100,20/03/2016,F
9126,0,0,0,39,23,1,0,6,0,9,11,31,56,52239,23,T,100,03/05/2017,F
9221,0,0,0,31,32,1,0,2,9,0,10,36,52,43935,51,F,100,10/09/2017,F
9335,9.882333,249,1,21,8,0,0,5,0,0,7,27,64,37502,44,T,30,03/12/2018,F
12720,0,0,0,43,39,1,0,4,8,12,14,37,48,64281,22,F,100,29/06/2016,F
29188,7.465667,299,1,40,12,1,0,2,8,12,9,29,61,62091,9,F,160,01/07/2016,F
29272,0,0,0,35,28,1,0,5,0,7,6,31,61,79287,21,F,100,06/06/2020,F
32837,0,0,0,69,23,5,0,7,11,40,8,29,62,46210,21,T,500,05/07/2019,F
33038,12.524667,158,2,35,27,2,0,3,10,6,15,31,53,45384,30,F,290,20/09/2017,F
33120,0,0,0,53,37,1,0,3,9,20,17,31,51,54231,32,F,100,23/12/2017,F
33146,0,0,0,32,19,0,0,6,10,4,9,33,57,44525,48,F,0,22/08/2020,F
33141,0,0,0,36,29,1,0,4,10,8,12,48,38,57366,43,F,100,29/12/2016,F
33273,0,0,0,39,34,0,0,2,10,10,16,34,48,41701,11,F,0,16/07/2017,F
33332,0,0,0,62,31,0,0,6,10,32,9,38,51,37914,9,F,0,09/02/2017,T
33252,0,0,0,48,-4,1,0,7,9,20,11,27,61,59921,18,F,100,17/05/2018,F
33591,12.24799,248,3,60,36,6,0,6,9,32,6,34,59,35773,22,T,690,16/12/2020,F
33715,0,0,0,36,30,1,0,4,11,8,13,35,50,62888,33,F,100,12/07/2016,F
33816,12.711333,278,2,32,9,1,0,2,10,0,14,39,45,49921,11,F,190,14/07/2017,F
34034,8.612333,279,1,41,32,4,0,5,9,8,9,35,54,41975,33,F,430,22/03/2020,F
34098,0,0,0,36,40,0,0,6,8,5,12,25,61,38814,28,F,0,28/04/2018,F
34125,0,0,0,41,14,1,0,3,11,12,11,33,54,38183,25,F,100,13/11/2018,F
34135,0,0,0,48,-5,1,0,4,8,16,8,20,70,30251,7,F,160,28/05/2017,T
34285,15.71692,617,6,19,23,0,0,6,10,0,7,27,64,37502,42,F,720,25/05/2019,F
34316,0,0,0,38,-2,0,0,2,0,8,16,29,54,65364,52,F,30,18/01/2019,F
34360,10.589,189,1,50,13,0,0,3,9,23,9,32,57,54446,40,F,60,27/04/2016,F
34511,11.30295,203,3,42,23,2,0,6,10,13,13,30,56,50721,34,T,350,24/10/2019,F
34517,8.412333,179,1,44,38,7,0,3,11,16,10,50,38,40733,33,F,760,03/01/2016,F
34361,0,0,0,67,30,0,0,7,10,39,3,38,57,58607,40,T,0,14/01/2019,F
34563,0,0,0,63,28,0,0,6,9,33,11,14,73,52907,48,T,0,14/03/2016,F
12870,0,0,0,53,9,2,0,4,9,18,10,35,53,75546,32,T,200,26/04/2020,F
13120,10.735657,169,2,38,18,3,0,3,11,13,9,23,67,42306,17,F,420,03/01/2019,F
13190,10.243323,10,1,46,23,1,0,5,11,16,9,27,62,61352,20,T,190,04/10/2018,F
13813,0,0,0,27,36,1,0,3,8,0,11,18,69,43220,25,F,100,21/07/2018,T
13867,10.432273,299,3,36,18,2,0,3,11,8,18,36,44,56246,8,F,320,16/05/2018,F
34704,9.555667,89,1,24,18,1,0,2,0,0,14,32,53,49255,1,F,130,30/06/2018,F
24110,0,0,0,45,10,0,0,4,10,16,12,39,48,49264,40,F,0,11/06/2016,F
24133,11.908323,75,2,43,20,1,0,1,11,16,9,27,62,61352,14,T,220,10/12/2016,F
22291,0,0,0,36,-5,0,0,3,8,8,16,29,54,65364,36,F,30,30/06/2020,F
24317,0,0,0,34,23,1,0,1,11,2,11,35,52,66303,9,F,100,31/05/2020,F
24469,0,0,0,39,-1,0,0,6,8,10,16,34,48,41701,13,F,0,14/08/2020,F
24478,0,0,0,50,8,0,0,4,9,15,16,36,47,51428,7,F,0,04/08/2020,F
